id,text_no_spaces,predicted_positions
52,куплюмониторLG,"[5, 12]"
53,ищумастерапосантехнике,"[3, 10, 12]"
54,новыйстолдоставка,"[5, 9]"
55,куплюайфон13мини,"[5, 10, 12]"
56,ищудевушкудляотношений,"[1, 3, 10, 13]"
57,сдаюдачуналето,"[4, 8, 10]"
58,куплюстиральнуюмашинуLG,"[5, 15, 21]"
59,ищуучителяанглийскогоязыка,"[3, 10, 21]"
60,новыйноутбукAsus,"[5, 12]"
61,куплюматрасортопедический,"[5, 10]"
62,ищукомнатунадлительныйсрок,"[1, 3, 6, 10, 12, 22]"
63,сдамквартирубеззалога,"[4, 12, 15]"
64,куплюхолодильникAtlant,"[5, 16]"
65,ищусобакушпица,"[3, 7]"
66,новаястиральнаямашинадоставка,"[5, 15, 21]"
67,куплютелевизорSony,"[5, 14]"
68,ищурепетиторапогеографии,"[3, 13, 15]"
69,сдаюкомнатусмебелью,"[4, 11, 12]"
70,куплюпылесосDyson,"[5, 11, 12]"
71,ищуработуофицианткой,"[3, 9]"
72,новыйшкафкупе,"[5, 9]"
73,куплюдиванугловой,"[3, 7, 8]"
74,ищуквартирунадлительныйсрок,"[3, 11, 13, 23]"
75,сдамгаражваренду,"[4, 9, 10]"
76,куплювелосипедStels,"[5, 14]"
77,ищуврачапедиатра,"[3, 8]"
78,новыйтелефонOppo,"[5, 12]"
79,куплюмикроволновкуSamsung,"[5, 18]"
80,ищукомнатудлядевушки,"[1, 10, 13]"
81,срочнопродамшкаф,"[6, 12]"
82,куплюPlaystation4slim,"[5, 16, 17]"
83,ищусобакунемецкуюовчарку,"[3, 7, 9, 17]"
84,новаякуртказима,"[5, 11]"
85,куплютелефонHonor,"[5, 12]"
86,ищуподругудляпрогулок,"[3, 5, 10, 13]"
87,сдаюквартирусемье,"[4, 12]"
88,куплютелевизорToshiba,"[5, 14]"
89,ищумастерапоремонтустиралок,"[3, 10, 12, 19, 22]"
90,новыйдивансерый,"[5, 10]"
91,куплюкомодбу,"[5, 10]"
92,ищуучителяпоматематике,"[3, 10, 12]"
93,сдамквартирустудентам,"[4, 12]"
94,куплювелосипедбу,"[5, 14]"
95,ищустудиюнамесяц,"[3, 9, 11]"
96,новаямикроволновкадоставка,"[5, 18]"
97,ищуработунавыходные,"[3, 9, 11]"
98,куплютелефонHuawei,"[5, 12]"
99,"продамшкаф,почтиновый,сзеркалами","[6, 11, 16, 22, 23]"
100,"ищукнигубратьякарамазовы,срочно","[3, 8, 14, 25]"
101,"новыймонитор,27дюймов,доставка","[5, 13, 15, 22]"
102,"куплюковрикдляйоги,недорого!","[5, 11, 14, 19, 21]"
103,"ищуинструкторапоплаванию,бассейнрядом","[3, 14, 16, 25, 32]"
104,"сдамкомнату,толькодевушке","[4, 12, 18]"
105,"куплюшвейнуюмашинку,рабочую","[5, 12, 20]"
106,"ищудрузейдляпутешествий,летомвгоры","[3, 9, 12, 24, 29, 30]"
107,"новаякофеваркаPhilips,гарантияесть","[5, 14, 22, 30]"
108,"куплюлыжи,палкивкомплекте","[5, 7, 10, 15, 16]"
109,"ищуучителяповокалу,джаз","[3, 10, 12, 19]"
110,"сдамместовгараже,сухо","[4, 9, 10, 17]"
111,"куплюдетскийвелосипед,длядевочки","[3, 5, 12, 22, 25]"
112,"ищупекарявкафе,утро","[3, 9, 10, 15]"
113,"новаястиралкаBosch,привезусам","[5, 13, 19, 26]"
114,"куплюстолписьменный,белый","[5, 9, 20]"
115,"ищупрограммистанапроект,срочно!","[3, 15, 17, 24]"
116,"сдамстудиюпосуточно,метрорядом","[4, 10, 12, 20, 25]"
117,"куплюсковородучугунную,диаметр28","[5, 6, 14, 23, 30]"
118,"ищурепетиторапобиологии,ЕГЭ","[3, 13, 15, 24]"
119,"новаягазоваяплита,привезёмбыстро","[5, 12, 18, 26]"
120,"куплюмашинуВАЗбу,находу","[5, 11, 14, 17, 19]"
121,"ищустоликдляноутбука,складной","[3, 9, 12, 21]"
122,"сдамквартирунаночь,чисто","[4, 12, 14, 19]"
123,"куплюшкаф-купе,трёхдверный","[5, 9, 10, 15]"
124,"ищукостюмнасвадьбу,мужской","[3, 9, 11, 19]"
125,"новыйпылесосSamsung,коробкаесть","[5, 12, 20, 27]"
126,"куплюрюкзактуристический,70литров","[5, 11, 25, 27]"
127,ищуучителяпошахматам,"[3, 10, 12]"
128,"сдампарковкувцентре,охрана","[4, 12, 13, 20]"
129,"куплюкроссовкиAdidas,оригинал","[5, 6, 14, 21]"
130,"ищустолярныеуслуги,недорого","[3, 12, 19]"
131,"новыйтелевизорLG,гарантия2года","[5, 14, 17, 25, 26]"
132,"куплювазудляцветов,стеклянную","[5, 9, 12, 19]"
133,ищууборщицунавыходные,"[3, 11, 13]"
134,"сдамофис,20квадратов","[4, 9, 11]"
135,"куплюконькиженские,размер37","[5, 11, 19, 25]"
136,ищупереводчикасанглийского,"[3, 14, 15]"
137,"новыйутюгPhilips,гарантия","[5, 9, 17]"
138,"куплюнаушники,беспроводные","[5, 14]"
139,"ищуплиточника,ремонтванной","[3, 14, 20]"
140,"сдамгараж,ключинаруках","[4, 10, 15, 17]"
141,"куплюноутбук,недорого,срочно","[5, 13, 15, 22]"
142,ищугрузчиковназавтра,"[3, 12, 14]"
143,"новыйроутерXiaomi,вайфай6","[5, 11, 18, 19, 24]"
144,"куплюколонки5.1,мощные","[5, 12, 16]"
145,"ищуэлектрика,розеткиискрят!","[3, 13, 20, 21]"
146,"сдамдачунанеделю,естьбаня","[4, 8, 10, 17, 21]"
147,"куплюмиксеркухонный,брендовый","[5, 11, 20]"
148,ищуфотографанамероприятие,"[3, 12, 14]"
149,новаямультиваркаRedmond,"[5, 16]"
150,"куплючайникэлектрический,новый","[11, 25]"
151,"ищупылесос,моющий","[1, 3, 5, 11]"
152,"сдамкладовку,центргорода","[4, 13, 18]"
153,куплюкамерувидеонаблюдения,"[5, 11]"
154,"ищуняню,графикгибкий","[1, 3, 8, 14]"
155,"новыйсмартфон,запечатанный","[5, 14]"
156,куплючемоданнаколёсах,"[5, 8, 12, 14]"
157,ищупарикмахеранадом,"[3, 8, 14, 16]"
158,"сдамсклад,50метров","[4, 10, 12]"
159,"куплюпроектор,дляфильмов","[5, 14, 17]"
160,ищугитариставгруппу,"[3, 12, 13]"
161,новыйкухонныйкомбайн,"[5, 13]"
162,"куплюдиван,тканьсерая","[3, 5, 11, 16]"
163,ищуплитуэлектрическую,"[3, 8]"
164,"сдамстудиювцентре,уютная","[4, 10, 11, 18]"
165,куплюмясорубкуручную,"[5, 14]"
166,ищушеф-поваравресторан,"[3, 6, 7, 13, 14]"
167,новыйматрасортопедический,"[5, 11, 13]"
168,"куплютренажёр,вело","[5, 8, 10, 14]"
169,"ищуадвоката,консультация","[3, 12]"
170,"сдамофис,арендапомесячно","[4, 9, 15]"
171,куплюкартинумаслом,"[5, 12]"
172,ищубухгалтеранаполставки,"[3, 13, 15]"
173,новаяпечьмикроволновая,"[5, 9]"
174,куплюлодкурезиновую,"[5, 10]"
175,"ищулогопеда,занятиядома","[1, 3, 7, 12, 19]"
176,"сдамквартиру,ремонтсвежий","[4, 13, 19]"
177,"ищумебельщика,кухняподзаказ","[3, 14, 19, 22]"
178,новыйкулердляводы,"[5, 10, 13]"
179,куплюстолскладной,"[5, 9]"
180,"ищуводителя,ночныесмены","[3, 12, 18]"
181,"сдамквартиру,толькорусским","[4, 13, 19]"
182,куплюплатьевечернее,"[5, 11]"
183,"ищухирурга,консультациясрочно","[1, 3, 5, 11, 23]"
184,новыйфильтрдляводы,"[5, 11, 14]"
185,куплюкреслоофисное,"[5, 11]"
186,ищумассажистанадом,"[3, 13, 15]"
187,сдампомещениеподсклад,"[4, 13, 16]"
188,куплютелефонOppo,"[5, 12]"
189,"ищупсихолога,опытобязателен","[3, 13, 17]"
190,новаяколонкаJBL,"[5, 12]"
191,куплюджинсыLevi’s,"[3, 11, 15]"
192,"ищудомработницу,центр","[1, 6, 16]"
193,"сдамдом,участок6соток","[1, 4, 8, 15, 16]"
194,куплюконструкторLego,"[5, 16]"
195,ищухудожникадляпортрета,"[3, 12, 15]"
196,"новыйблендер,гарантия","[5, 13]"
197,"куплювидеокамеру,недорого","[5, 10, 17]"
198,ищурепетиторапохимии,"[3, 13, 15]"
199,"сдамдачу,лесрядом","[4, 9, 11, 12]"
200,куплюзимниешины,"[5, 11]"
201,ищугидапоМоскве,"[3, 7, 9]"
202,новаялюстрапотолочная,"[5, 11]"
203,"куплюковёр,шерстяной","[5, 11]"
204,ищуарендугаража,"[3, 9]"
205,сдамквартирусбалконом,"[4, 12, 13]"
206,куплюудочкудлярыбалки,"[5, 11, 14]"
207,"ищукомпозитора,музыка","[3, 15]"
208,"новыйтостер,черный","[5, 12]"
209,куплюстоловыеприборы,"[5, 13]"
210,ищуинженерапоремонту,"[3, 11, 13]"
211,"сдампарковку,центр","[4, 13]"
212,куплюрезинузимнюю,"[5, 11]"
213,ищуактерадлясъемок,"[3, 9, 12]"
214,новаяплитаэлектрическая,"[5, 10]"
215,куплювидеокартуRTX,"[5, 15]"
216,"ищуюриста,оформлениедоговора","[3, 10, 20]"
217,"сдамсклад,сухоепомещение","[4, 10, 15]"
218,куплюкомодбелый,"[5, 10]"
219,"ищуплиточника,срочно","[1, 3, 14]"
220,новаялампанастольная,"[5, 10]"
221,"куплюскейтборд,новый","[5, 6, 15]"
222,сдамкомнатусремонтом,"[4, 11, 12]"
223,куплюроутерTP-Link,"[5, 11, 13, 14]"
224,ищупарнядлясъёмок,"[3, 8, 11]"
225,"новыйковёр,мягкий","[5, 11]"
226,куплючасыCasio,"[5, 9]"
227,ищупоставщикаовощей,"[3, 13, 14]"
228,"сдамстудию,центргорода","[4, 11, 16]"
229,куплюпылесосмоющий,"[5, 9, 11]"
230,ищудизайнераинтерьера,"[3, 12]"
231,"новыйхолодильник,белый","[5, 17]"
232,"ищуняню,полныйдень","[1, 3, 8, 14]"
233,сдамквартирустехникой,"[4, 12, 13]"
234,куплюплитугазовую,"[5, 10]"
235,ищуврачакардиолога,"[3, 8]"
236,новыйчайникэлектрический,"[5, 11]"
237,куплюстульядеревянные,"[5, 11]"
238,ищуповаравкафе,"[3, 9, 10]"
239,сдамдомнамесяц,"[1, 4, 7, 9]"
240,куплюавтомобильбу,"[5, 15]"
241,ищупрограммистаpython,"[3, 15]"
242,новаяпосудомойкаBosch,"[5, 16]"
243,куплюкамеруCanon,"[5, 11]"
244,ищуработубариста,"[3, 9]"
245,"сдамстудию,срочно","[4, 11]"
246,куплюайфон15про,"[5, 10, 12]"
247,сдамквартирувцентре,"[4, 12, 13]"
248,ищуработупрограммистом,"[3, 9]"
249,новаямебельвналичии,"[5, 11, 12]"
250,куплютелевизорSamsung,"[5, 14]"
251,ищутаксидоаэропорта,"[3, 7, 8, 10]"
252,срочноотдамкотенка,"[6, 11]"
253,куплюхолодильникбу,"[5, 16]"
254,сдаюдачусбаней,"[4, 8, 9]"
255,куплювелосипедновый,"[5, 14]"
256,ищустудиюбезмебели,"[3, 9, 12]"
257,сдамкомнатунамесяц,"[4, 11, 13]"
258,куплюмониторSamsung,"[5, 12]"
259,ищусобакухаски,"[3, 7]"
260,новаякурткадоставказавтра,"[5, 11, 19]"
261,куплютелевизорLG,"[5, 14]"
262,ищуучителяиспанского,"[3, 10]"
263,сдамгаражсрочно,"[4, 9]"
264,куплюноутбукLenovo,"[5, 12]"
265,ищуквартирупосуточно,"[3, 11, 13]"
266,новыйстолистулья,"[5, 9, 10]"
267,куплютелефонPixel,"[5, 12]"
268,ищуврачастоматолога,"[3, 8, 9, 15]"
269,сдаюофисваренду,"[4, 8, 9]"
270,куплюгитаруGibson,"[5, 11]"
271,ищуработукурьером,"[3, 9]"
272,новыйноутбукMSI,"[5, 12]"
273,куплюмикроволновкуLG,"[5, 18]"
274,ищудевушкудляпрогулок,"[1, 3, 10, 13]"
275,сдамскладнедорого,"[4, 9]"
276,куплюайпадбу,"[5, 10]"
277,ищусобакутаксу,"[3, 9]"
278,куплюкомпьютерMac,"[5, 14]"
279,ищурепетиторапофизике,"[3, 13, 15]"
280,сдамквартирупосуточно,"[4, 12, 14]"
281,куплюдиванкожаный,"[3, 7, 10]"
282,ищуработудизайнером,"[3, 9]"
283,новыйхолодильникдоставка,"[5, 16]"
284,куплютелевизорOLED,"[5, 14]"
285,ищустудиюсремонтом,"[3, 9, 10]"
286,сдамкомнатубезмебели,"[4, 11, 14]"
287,куплюпылесосXiaomi,"[5, 11, 12]"
288,ищурепетиторапорусскому,"[3, 13, 15]"
289,новаямебельназаказ,"[5, 11, 13]"
290,куплюнаушникиSony,"[5, 13]"
291,ищумастерапомебели,"[3, 10, 12]"
292,сдамдачуналето,"[4, 8, 10]"
293,ищуработутестировщиком,"[3, 9]"
294,новыйтелефонHonor,"[5, 12]"
295,куплюматрасбу,"[5, 7, 10, 11]"
296,ищусобакубигля,"[3, 7, 8]"
297,сдамгаражвцентре,"[4, 9, 10]"
298,куплюноутбукAcer,"[5, 12]"
299,ищустудиюнадлительныйсрок,"[3, 9, 11, 21]"
300,новыйдиванвналичии,"[5, 10, 11]"
301,куплюстолобеденный,"[5, 9]"
302,ищуврачатерапевта,"[3, 8]"
303,сдаюквартирусремонтом,"[4, 12, 13]"
304,куплюмиксерBosch,"[5, 11]"
305,ищуподработкувечером,"[3, 13]"
306,новаякурткамужская,"[5, 11]"
307,куплютелевизорJVC,"[5, 14, 16]"
308,ищурепетиторапоинформатике,"[3, 13, 15]"
309,сдамдомуморя,"[4, 8]"
310,куплюпланшетHuawei,"[5, 12]"
311,ищуработуменеджером,"[3, 9]"
312,новыйноутбукDell,"[5, 12]"
313,куплюкреслокомпьютерное,"[5, 11]"
314,ищусобакуджекрассел,"[3, 7, 13]"
315,сдамстудиюбезпосредников,"[4, 10, 13]"
316,куплювелосипедGiant,"[5, 14]"
317,ищуврачахирурга,"[3, 8, 9, 10]"
318,новыйпылесосдоставка,"[5, 12]"
319,куплюайфон13,"[5, 10]"
320,сдамкомнатудлядевушки,"[4, 11, 14]"
321,куплюхолодильникновый,"[5, 16]"
322,ищуработуводителем,"[3, 9]"
323,новыйдиванугловой,"[5, 10]"
324,ищустудиюсмебелью,"[3, 9, 10]"
325,сдамдачунедорого,"[4, 8]"
326,куплюмикроволновкубу,"[5, 18]"
327,ищусобакупуделя,"[3, 7, 8, 11]"
328,новыйтелевизорTCL,"[5, 14]"
329,куплюноутбукAsus,"[5, 12]"
330,ищуучителяфранцузского,"[3, 10]"
331,ищурепетиторапоалгебре,"[3, 13, 15]"
332,новаякухнявналичии,"[5, 10, 11]"
333,куплюкомпьютерDell,"[5, 14]"
334,ищуработупродавцом,"[3, 9]"
335,куплютелевизорSharp,"[5, 14]"
336,ищусобакулайку,"[3, 7, 9]"
337,продамдиванбу,"[6, 11]"
338,2024год,[4]
339,ищуработупрограммистомудаленно,"[3, 9, 23]"
340,"холодильниксломался,помогитесрочно","[11, 20, 28]"
341,АВТОМОЙКАРЯДОМ,"[7, 11]"
342,телевизорLG55,"[9, 11]"
343,МоскваIkeaдоставка,"[6, 10]"
344,срочноищуквартирууметро,"[6, 9, 17, 18]"
345,"ноутбукневключается,чтоделать?","[7, 9, 20, 23]"
346,новыйстолIkeaдоставка,"[5, 9, 13]"
347,продаюкошкувхорошиеруки,"[6, 11, 12, 19]"
348,Windows11незапускается,"[7, 9, 11]"
349,продаюPlaystation5почтиновая,"[6, 17, 18, 23]"
350,квартирасремонтомимебелью,"[8, 9, 17, 18]"
351,"Avitoнеоткрывается,помогите","[5, 7, 19]"
352,хочукупитьвелосипедбу,"[4, 10, 19]"
353,ищурепетиторапоматематике,"[3, 13, 15]"
354,сушидоставканочью,"[4, 12]"
355,нужнапомощьвпереездесрочно,"[5, 11, 12, 20]"
356,айфон14промакс,"[5, 7, 10]"
357,ищуключиотмашины,"[3, 8, 10]"
358,Сбербанкнеработаетбанкомат,"[8, 10, 18]"
359,продаюкомодбуторг,"[6, 11, 13, 14]"
360,куплюцветырозытюльпаны,"[5, 10, 14]"
361,хочузаказатьтаксиваэропорт,"[4, 12, 16, 17, 18]"
362,ищудомвдеревненалето,"[1, 6, 7, 14, 16]"
363,куплюноутбукдляигр,"[5, 12, 15]"
364,отдамдаромстарыйшкаф,"[5, 10, 16]"
365,ищумастерапоремонтуноутбуков,"[3, 10, 12, 19]"
366,автосервиспоблизости,"[10, 12]"
367,продаюiPhoneXR,"[6, 12, 13]"
368,ищуквартирувМосквенедорого,"[3, 11, 12, 18]"
369,собакапотеряласьнаулице,"[6, 16, 18]"
370,ищуработуофициантомвечером,"[3, 9, 19]"
371,подарюкотенкахорошимлюдям,"[6, 13, 20]"
372,SamsungA54новый,"[7, 10]"
373,квартирастудиядолгосрочно,"[8, 14]"
374,ИвановИванСергеевич,"[6, 10]"
375,ищуавтозапчастинаВАЗ,"[3, 15, 17]"
376,сломалсяпылесосSamsung,"[8, 15]"
377,срочнонуженмастер-сантехник,"[6, 11, 17, 18]"
378,ищудешевыеавиабилеты,"[1, 3, 10]"
379,куплюбилетывтеатр,"[3, 7, 11, 12]"
380,новыйхолодильникдешево,"[5, 16]"
381,iPhone15Pro,"[6, 8]"
382,ремонтобувирядом,"[6, 11]"
383,сдамкомнатустуденту,"[4, 11, 14]"
384,хочузаказатьсуши!,"[4, 12]"
385,"ноутбукзависаетчасто,чтоделать","[7, 15, 21, 24]"
386,ЯндексЕданеработает,"[6, 9, 11]"
387,ищузапчастинаВАЗ2107,"[3, 11, 13, 16]"
388,ремонтiPhoneбыстро,"[6, 12]"
389,хочукупитьсамокатребенку,"[4, 10, 15, 16, 17]"
390,ищурепетиторапоанглийскому,"[3, 13, 15]"
391,сдаюквартирупосуточно,"[4, 12, 14]"
392,доставкаедыМосква,"[8, 11]"
393,продамкурткубу,"[6, 12]"
394,куплюколесазима,"[5, 11]"
395,ремонткомпьютеровнедорого,"[6, 17]"
396,продаюстулIkea,"[6, 10]"
397,автостеклозамена,[10]
398,нуженмастерпомебели,"[5, 11, 13]"
399,куплюдетскуюколяску,"[5, 12]"
400,продаюXboxSeriesS,"[6, 10, 16]"
401,хочукупитьмороженое,"[4, 10]"
402,ремонтiPhoneМосква,"[6, 12]"
403,хочукофелатте,"[4, 11]"
404,"IKEAзакрылась,чтоделать?","[4, 14, 17]"
405,ищуподругудляобщения,"[3, 5, 10, 13]"
406,срочнонуженрепетитор,"[6, 11]"
407,"потерялпаспорт,помогите","[7, 15]"
408,куплюдетскиевещи,"[5, 12]"
409,ремонтiPhoneсрочно,"[6, 12]"
410,ищуавтоспробегом,"[3, 7, 8]"
411,куплюiPhone12,"[5, 11]"
412,новыйдивандоставка,"[5, 10]"
413,квартирасремонтомнедорого,"[8, 9, 17]"
414,хочукупитьтелевизорSamsung,"[4, 10, 19]"
415,срочнопродаювелосипедбу,"[6, 12, 21]"
416,ищустудентадляпомощи,"[3, 11, 14]"
417,МоскваСбербанкбанкомат,"[6, 14]"
418,ищумебельбунедорого,"[3, 5, 11, 13]"
419,ноутбукAsusROG,"[7, 11]"
420,хочузаказатьпиццу,"[4, 12]"
421,сдаюквартирунамесяц,"[4, 12, 14]"
422,ищудешёвыйтелефон,"[1, 3, 10]"
423,продаммониторбу,"[6, 13]"
424,ищуспециалистапоремонту,"[3, 14, 16]"
425,куплюгитарунедорого,"[5, 7, 11]"
426,ищукнигупоистории,"[3, 8, 10]"
427,старыйтелевизорработает,"[6, 15]"
428,куплюсамокатдетский,"[5, 12]"
429,"ищусобаку,пропала","[3, 10]"
430,Аятанцуюпьяныйподдождём,"[1, 2, 8, 14, 17]"
431,"Курилитолькосиги,есличё","[5, 6, 12, 17, 21]"
432,Нашобразжизнистанетпалачом,"[3, 8, 13, 19]"
433,Нискольконежалеюниочём,"[2, 9, 11, 16, 18, 19]"
434,"Грустно,когдарасписанывсемаршруты","[8, 13, 22, 25]"
435,Когданачасахважныминуты,"[5, 7, 12, 17, 19]"
436,Ивсенасветесталокак-тоскучноиглупо,"[1, 4, 6, 11, 16, 22, 28, 29]"
437,"Мояшизазнает,когданажатьнаплей","[5, 13, 18, 24, 26]"
438,"Неждименяродная,закрывайназамокдверь","[5, 9, 16, 26, 31]"
439,"Утродоброе,держименяфонарь","[4, 11, 16, 20]"
440,"Очкитёмные,спрячьтемнеглаза","[4, 11, 17, 19, 20, 22]"
441,"Солнцеяркое,прошусогрейменя","[6, 12, 17, 18, 19, 23]"
442,"Быловесело,ноябнеповторял","[4, 11, 13, 15, 17]"
443,Якалендарьперевернул,"[1, 10]"
444,Исноватретьесентября,"[1, 6, 12]"
445,Нафотоятвоёвзгляну,"[2, 6, 7, 8, 11]"
446,"Нопочему,нопочему","[2, 9, 11]"
447,Расстатьсявсёженампришлось?,"[10, 13, 15, 18]"
448,Ведьбыловсёунасвсерьёз,"[4, 8, 11, 12, 15, 16, 20]"
449,Второгосентября,[7]
450,Журавлейбелыйклин,"[8, 13]"
451,Твоядочьимойсын—,"[4, 8, 9, 12, 15]"
452,Всехотяттеплотыиласки,"[3, 8, 15, 16]"
453,"Мывлюбовь,каквигру,","[2, 3, 10, 13, 14]"
454,Нахолодномветру,"[2, 10]"
455,Поигралистобой,"[8, 9]"
456,Нопришёлсамсобой,"[2, 8, 11]"
457,"Выцветшаятень,выжженнаяна","[9, 14, 23]"
458,Городскомландшафтеменязовёт,"[9, 18, 22]"
459,Окнаянтарёмлижутмнеглаза,"[4, 8, 11, 16, 19]"
460,Кровьислепотаволокутвперёд,"[5, 6, 7, 9, 13, 20, 21]"
461,Лёгкиеопухли,[6]
462,Амороксквозьтолпу,"[1, 6, 8, 12]"
463,"Манит,игнорируяменя","[6, 7, 15]"
464,Толькобыдогнал,"[6, 8]"
465,Яегопочтидогнал,"[1, 4, 9]"
466,Телоисполняетсяогня,"[4, 15]"
467,"Сердцелупитмневгрудь,каквгонг","[6, 11, 14, 15, 21, 24, 25]"
468,Расползаясьпососудамраскатами,"[11, 13, 20]"
469,Ветхийгородприменяетзакон,"[6, 11, 20]"
470,Чтобыдваблизнецаоказалисьразъятыми,"[5, 8, 16, 25]"
471,"Ядавлюсь,изрыгаяогонь","[1, 9, 16]"
472,Глоткамивоздуха,[8]
473,Наальвеолахраспятыми,"[2, 7, 11]"
474,Вэтомстробоскопическомкино,"[1, 5, 10, 22]"
475,Длядостижениярубежа,"[3, 13]"
476,"Мненехватаетдыхания,но","[3, 5, 12, 20]"
477,Япродолжаючтоестьмочибежать,"[1, 10, 13, 17, 21]"
478,Толькоменябеспокоитодно,"[6, 10, 19]"
479,Лёгкиебудтопоеларжа,"[6, 11, 15, 16]"
480,Япродолжаюзанимбежать,"[1, 10, 12, 15]"
481,"Яананас,ятакойжекакон","[1, 2, 4, 8, 9, 14, 16, 19]"
482,Колючийвнутриисовсехсторон,"[7, 13, 14, 16, 20]"
483,Нешутисомной,"[2, 5, 6, 8]"
484,Ятропическийлев,"[1, 12]"
485,АркадийУкупник—кусающийлжец,"[7, 14, 15, 23]"
486,"Тот,ктовпятнадцатьлетубежализдома,","[4, 7, 8, 18, 21, 22, 27, 29]"
487,"Врядлипойметтого,ктоучилсявспецшколе.","[4, 6, 12, 17, 20, 26, 27]"
488,"Тот,укогоестьхорошийжизненныйплан,","[4, 5, 9, 13, 20, 29]"
489,Врядлибудетдуматьочем-тодругом.,"[4, 6, 11, 17, 18, 24]"
490,"Мыпьемчайвстарыхквартирах,","[2, 6, 9, 10, 16]"
491,"Ждемлетавстарыхквартирах,","[4, 8, 9, 15]"
492,"Встарыхквартирах,гдеестьсвет,","[1, 7, 17, 20, 24]"
493,"Газ,телефон,горячаявода,","[4, 12, 19]"
494,"Радиоточка,пол-паркет,",[11]
495,"Санузелраздельный,домкирпичный,","[3, 7, 18, 21]"
496,"Однасемья,двесемьи,трисемьи...","[4, 10, 13, 19, 22]"
497,"Многоподсобныхпомещений,","[5, 14]"
498,"Первыйипоследний-непредлагать,","[6, 7, 16, 17, 19]"
499,"Рядомсметро,центр...","[5, 6, 12]"
500,"Всеговорят,чтомыв-месте...","[3, 11, 14, 16]"
501,"Всеговорят,нонемногиезнают,вкаком.","[3, 11, 13, 15, 21, 27, 28]"
502,Аизнашихтрубидетнеобычныйдым.,"[1, 3, 8, 12, 16, 18, 25]"
503,Стой!Опаснаязона!Работамозга!..,"[1, 5, 12, 17, 23]"
504,Пожалуйстанеумирай,"[7, 10, 12, 13, 17]"
505,Илимнепридетсятоже,"[3, 6, 14]"
506,Тыконечносразуврай,"[2, 9, 14, 15]"
507,Аянедумаючтотоже,"[1, 2, 4, 9, 12]"
508,Хочешьсладкихапельсинов,"[6, 13]"
509,Хочешьвслухрассказдлинный,"[6, 7, 11, 18]"
510,Хочешьявзорвувсезвезды,"[6, 7, 8, 13, 16]"
511,Чтомешаютспать,"[3, 9]"
512,Пожалуйстатолькоживи,"[10, 16]"
513,Тыжевидишьяживутобою,"[2, 4, 11, 16, 17]"
514,Моейогромнойлюбви,"[4, 12]"
